,SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR
162, J0624+6626 ,96.17782698,66.439735294,WISE J062442.37+662625.6 ,2013ApJ...776..126C,1104317391237838464,0.33,       ...,                ...,      ... ,               ... ,       L1 ,2013ApJ...776..126C,      ... ,               ... ,-99999.0,-99999.0,               ... ,13.412,0.049,12.767999999999999,0.046,12.267999999999999,0.031,11.880999999999998,0.023,11.68,0.021,11.434000000000001,0.156,-99999.0,-99999.0,20.303,0.001,-99999.0,-99999.0,16.518,0.016,15.520999999999999,0.006,18.435,0.002,797.1,1.4,21.386,0.128,38.6,4.6,16.827,0.008,1492.7,10.4,18.507,47.7,0.21,353.87,0.23,-520.29,0.28
164, J0632+8305 ,98.026340119,83.083466897,  2MASS 06320617+8305014 ,2008AJ....136.1290R,1143789235905336576,0.19,       ...,                ...,     L0.5 ,2008AJ....136.1290R,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,13.754000000000001,0.027000000000000003,12.943,0.031,12.4,0.027999999999999997,12.073,0.023,11.831,0.022000000000000002,11.452,0.151,21.648000000000003,0.172,20.457,0.059000000000000004,18.051,0.008,16.582,0.006,15.585999999999999,0.006,18.497,0.003,752.4,1.9,21.456999999999997,0.16699999999999998,36.1,5.5,16.892,0.013999999999999999,1406.0,17.9,18.590999999999998,43.9,0.22,22.54,0.4,-50.65,0.43
166, J0641-4322 ,100.328009126,-43.372970623,  2MASS 06411840-4322329 ,2008AJ....136.1290R,5557113083119380224,0.28,       ...,                ...,     L1.5 ,2008AJ....136.1290R,    L2.5: ,2014ApJ...794..143B,      ... ,               ... ,51.08,0.51,2016AJ....152...24W,13.751,0.026000000000000002,12.940999999999999,0.034,12.450999999999999,0.028999999999999998,12.097000000000001,0.023,11.800999999999998,0.021,11.172,0.09,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,18.558,0.002,711.5,1.3,21.142,0.166,48.3,7.4,16.910999999999998,0.017,1381.9,21.6,18.899,51.28,0.19,211.78,0.35,632.03,0.41
169, J0659+1717 ,104.99406774299999,17.285752146,WISEA J065958.55+171710.9,2014ApJ...783..122K,3361210791323909504,0.23,       ...,                ...,      ... ,               ... ,       L2 ,2014ApJ...783..122K,      ... ,               ... ,-99999.0,-99999.0,               ... ,14.841,0.042,13.773,0.037000000000000005,13.020999999999999,0.03,12.632,0.024,12.357999999999999,0.026000000000000002,11.556,0.255,-99999.0,-99999.0,21.467,0.026000000000000002,19.177,0.016,17.83,0.005,16.921,0.01,19.725,0.006999999999999999,242.9,1.5,21.71,0.244,28.6,6.4,18.054000000000002,0.028999999999999998,482.2,12.7,19.6,42.08,0.85,67.1,1.46,-457.51,1.18
172, J0715-1145 ,108.969248194,-11.759642168, WISEA J071552.38-114532.,2014ApJ...783..122K,3045251148530763392,0.41,       ...,                ...,      ... ,               ... ,L4p(blue) ,2014ApJ...783..122K,      ... ,               ... ,-99999.0,-99999.0,               ... ,14.300999999999998,0.04,13.487,0.049,12.805,0.042,12.302999999999999,0.024,12.07,0.022000000000000002,11.755999999999998,0.242,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,17.427,0.006999999999999999,16.352,0.003,19.38,0.003,333.8,0.9,21.160999999999998,0.366,47.5,16.0,17.647000000000002,0.026000000000000002,701.4,17.0,19.496,55.59,0.34,706.9,0.57,-381.64,0.51
173, J0716-0630 ,109.199547688,-6.509635431, DENIS-P J0716478-063037 ,2008MNRAS.383..831P,3058039362114874496,0.05,       ...,                ...,      L1: ,2008MNRAS.383..831P,       L1 ,2014ApJ...794..143B,      ... ,               ... ,40.918,0.14400000000000002,2014A&A...565A..20S,13.899000000000001,0.036000000000000004,13.068,0.028999999999999998,12.565,0.037000000000000005,12.175999999999998,0.023,11.988,0.023,11.526,0.21600000000000003,21.465,0.161,20.619,0.026000000000000002,18.226,0.0,16.74,0.005,15.790999999999999,0.005,18.647000000000002,0.004,655.6,2.3,21.246,0.32,43.9,12.9,17.016,0.012,1254.5,14.1,18.75,41.1,0.35,-12.0,0.52,145.49,0.44
177, J0735+4108 ,113.830869401,41.146951150999996,  2MASS 07351967+4108510 ,2008AJ....135..785W,924473912120275712,0.09,       ...,                ...,       L0 ,2008AJ....135..785W,       M9 ,2014ApJ...794..143B,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.78,0.073,15.248,0.09,14.853,0.10099999999999999,14.453,0.03,14.095999999999998,0.043,12.664000000000001,-99999.0,24.28,0.43,22.81,0.21,19.665,0.01,18.171,0.006999999999999999,17.305999999999997,0.012,20.173,0.008,160.7,1.1,22.005,0.354,21.8,7.1,18.533,0.032,310.2,9.1,20.484,16.52,1.0,-170.68,1.46,-116.1,1.02
178, J0741+0531 ,115.490975704,5.531524524,  2MASS 07415784+0531568 ,2010ApJS..190..100K,3138513408427398016,0.1,       ...,                ...,      ... ,               ... ,     L1.5 ,2010ApJS..190..100K,      ... ,               ... ,-99999.0,-99999.0,               ... ,14.387,0.032,13.610999999999999,0.032,13.12,0.034,12.694,0.022000000000000002,12.432,0.024,12.184000000000001,0.446,-99999.0,-99999.0,20.996,0.053,18.81,0.01,17.346,0.003,16.382,0.008,19.232,0.005,382.4,1.6,19.625999999999998,0.23199999999999998,195.0,41.7,17.612000000000002,0.013999999999999999,724.5,9.7,19.364,38.13,0.44,-8.66,0.74,-215.59,0.55
179, J0742+4126 ,115.613860658,41.438201513, SDSSJ074227.46+412620.8 ,2010AJ....139.1808S,923777719395757824,0.22,       ...,                ...,       L0 ,2010AJ....139.1808S,      ... ,               ... ,   -99999.,           -99999. ,-99999.0,-99999.0,           -99999. ,14.78,0.03,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,19.346,0.004,344.3,1.3,21.144000000000002,0.14400000000000002,48.2,6.4,17.707,0.019,663.6,11.7,19.515,19.47,0.47,-109.76,0.7,-211.66,0.45
180, J0742+1808 ,115.63058157,18.137670133,  2MASS 07423127+1808168 ,2008AJ....135..785W,671255353451404288,0.05,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,14.880999999999998,0.037000000000000005,14.107999999999999,0.043,13.642999999999999,0.04,13.328,0.025,13.065999999999999,0.028999999999999998,12.042,-99999.0,21.236,0.28,21.328000000000003,0.027999999999999997,19.031,0.008,17.613,0.009000000000000001,16.694000000000003,0.008,19.525,0.006,292.1,1.6,21.15,0.261,47.9,11.5,17.903,0.019,553.9,9.7,19.475,23.47,0.55,57.51,0.95,-68.2,0.83
181, J0747+2658 ,116.964564548,26.979881369,ULAS J074751.51+265847.9 ,2016A&A...589A..49S,874942699995070848,0.03,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.0,-99999.0,           -99999. ,15.841,0.07200000000000001,15.22,0.1,14.67,0.087,14.315999999999999,0.027999999999999997,14.093,0.048,12.18,-99999.0,21.741999999999997,-99999.0,22.169,0.17800000000000002,19.915,0.019,18.461,0.012,17.542,0.006,20.451,0.009000000000000001,124.5,1.1,21.789,0.24,26.6,5.9,18.732,0.034,258.3,8.0,20.355,15.38,1.19,-33.09,3.02,-55.8,1.26
182, J0747+3947 ,116.984911627,39.792182957,  2MASS 07475631+3947329 ,2002AJ....123.3409H,920399190747526784,0.04,       ...,                ...,       L0 ,2002AJ....123.3409H,     M8.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.075999999999999,0.040999999999999995,14.163,0.039,13.724,0.045,13.418,0.026000000000000002,13.207,0.028999999999999998,12.552,-99999.0,21.899,-99999.0,21.594,0.049,19.208,0.006999999999999999,17.764,0.006,16.827,0.006999999999999999,19.7,0.005,248.6,1.1,21.021,0.33899999999999997,54.0,16.8,18.019000000000002,0.027999999999999997,497.8,12.9,19.558,20.32,0.49,36.13,0.92,-56.71,0.63
183, J0749+2503 ,117.341283235,25.051864521,ULAS J074921.95+250306.9 ,2016A&A...589A..49S,867782989514057728,0.05,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.0,-99999.0,           -99999. ,15.763,0.076,14.997,0.079,14.81,0.109,14.238,0.027999999999999997,14.0,0.049,12.235999999999999,0.39299999999999996,-99999.0,-99999.0,-99999.0,-99999.0,19.85,0.051,18.453,0.02,17.623,0.017,20.453,0.009000000000000001,124.2,1.0,20.766,0.263,68.2,16.5,18.676,0.045,272.0,11.3,20.482,12.99,1.26,-97.35,1.97,-36.75,1.26
184, J0750+4454 ,117.72748747700001,44.903934011000004,  2MASS 07505479+4454205 ,2008AJ....135..785W,926368649827338752,0.18,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.132,0.062,14.456,0.057999999999999996,14.247,0.07400000000000001,13.792,0.026000000000000002,13.439,0.032,11.895,-99999.0,23.74,0.42,21.596,0.10800000000000001,19.011,0.003,17.495,0.009000000000000001,16.644000000000002,0.008,19.499000000000002,0.004,299.1,1.2,20.333,0.36200000000000004,101.7,33.9,17.82,0.026000000000000002,598.1,14.6,19.863,19.57,0.49,-120.58,0.72,-376.86,0.67
185, J0751-2530 ,117.814119698,-25.511327773, DENIS-P J0751164-253043 ,2008MNRAS.383..831P,5602408602804816768,0.47,       ...,                ...,     L2.5 ,2008MNRAS.383..831P,       L1 ,2014ApJ...794..143B,      ... ,               ... ,56.303999999999995,0.085,2014A&A...565A..20S,13.161,0.024,12.495,0.023,11.991,0.024,11.69,0.023,11.436,0.021,11.054,0.125,-99999.0,-99999.0,20.089000000000002,0.077,-99999.0,-99999.0,16.046,0.012,15.074000000000002,0.01,17.951,0.001,1244.2,1.7,21.203000000000003,0.145,45.7,6.1,16.325,0.006,2369.5,12.6,18.214000000000002,56.57,0.16,-878.99,0.23,145.96,0.23
186, J0753+2917 ,118.38345219600001,29.28613495,  2MASS 07533217+2917119 ,2000AJ....120..447K,875864782229178624,0.07,       ...,                ...,       L2 ,2000AJ....120..447K,      ... ,               ... ,     L3.5 ,2016A&A...589A..49S,-99999.0,-99999.0,               ... ,15.515999999999998,0.048,14.527000000000001,0.04,13.849,0.043,13.333,0.025,13.008,0.028999999999999998,11.76,-99999.0,-99999.0,-99999.0,22.079,0.168,19.953,0.013000000000000001,18.509,0.013999999999999999,17.523,0.011000000000000001,20.407,0.009000000000000001,129.5,1.1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.257,22.41,1.01,-102.5,2.01,-107.94,1.09
187, J0757+2935 ,119.41164074299999,29.595368105,ULAS J075738.81+293543.5 ,2016A&A...589A..49S,877200169168634880,2.91,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.0,-99999.0,           -99999. ,15.140999999999998,0.039,14.467,0.043,14.002,0.05,13.63,0.025,13.401,0.031,12.569,0.5329999999999999,20.947,-99999.0,19.201,-99999.0,19.297,0.005,17.845,0.011000000000000001,16.93,0.009000000000000001,19.813,0.006,223.9,1.3,20.913,0.13,59.6,7.1,18.125999999999998,0.085,451.0,35.4,19.621,17.03,0.67,-42.4,1.18,-22.1,0.69
188, J0759+2427 ,119.793465739,24.452657380999998,  2MASS 07591043+2427136 ,2008AJ....135..785W,681385467610420608,0.11,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,     L0.5 ,2016A&A...589A..49S,-99999.0,-99999.0,               ... ,15.735999999999999,0.054000000000000006,14.98,0.054000000000000006,14.479000000000001,0.067,14.229000000000001,0.027999999999999997,14.005,0.043,12.31,-99999.0,24.82,0.65,22.56,0.21,19.980999999999998,0.03,18.17,0.03,-99999.0,-99999.0,20.528000000000002,0.009000000000000001,115.9,1.0,21.055999999999997,0.213,52.3,10.2,18.828,0.034,236.4,7.4,20.538,14.85,1.33,-11.34,1.99,-229.67,1.08
189, J0800+5511 ,120.11485096,55.192500125,  2MASS 08002758+5511346 ,2010AJ....139.1808S,1080925998616880768,0.12,       ...,                ...,       L1 ,2010AJ....139.1808S,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,14.623,0.028999999999999998,13.819,0.024,13.36,0.033,12.905,0.024,12.543,0.024,12.048,0.34,-99999.0,-99999.0,21.343000000000004,0.079,19.079,0.004,17.535,0.005,16.572,0.01,19.518,0.005,293.9,1.3,21.385,0.354,38.6,12.6,17.871,0.019,570.9,10.1,19.506,27.63,0.51,-15.67,0.86,-97.83,0.75
190, J0800+4658 ,120.200573936,46.97381186,  2MASS 08004815+4658256 ,2002AJ....123.3409H,932505947640566784,0.01,       ...,                ...,       L2 ,2002AJ....123.3409H,     L1.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.513,0.07,14.549000000000001,0.057999999999999996,14.315,0.078,13.828,0.025,13.555,0.032,11.978,-99999.0,20.52,-99999.0,22.072,0.154,19.89,0.015,18.433,0.019,17.477,0.026000000000000002,20.386,0.011000000000000001,132.1,1.4,21.163,0.31,47.3,13.5,18.694000000000003,0.032,267.3,7.9,20.132,22.01,1.34,-9.99,2.07,8.14,1.35
191, J0801+4806 ,120.49800958,48.108067198,  2MASS 08015951+4806282 ,2008AJ....135..785W,933136277040922880,0.02,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,16.012,0.094,15.06,0.10099999999999999,14.818,0.106,14.449000000000002,0.028999999999999998,14.100999999999999,0.040999999999999995,12.425,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.323,0.013999999999999999,18.708,0.017,17.66,0.033,20.739,0.016,95.5,1.4,21.581,0.306,32.2,9.1,18.93,0.05,215.1,9.8,20.621,16.87,1.92,4.09,3.37,45.53,2.71
192, J0802+3321 ,120.73256978299999,33.361679611,  2MASS 08025572+3321438 ,2010AJ....139.1808S,905302964817217408,0.12,       ...,                ...,       L2 ,2010AJ....139.1808S,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.847000000000001,0.08,14.802,0.073,14.199000000000002,0.071,13.822000000000001,0.026000000000000002,13.565,0.033,12.16,-99999.0,-99999.0,-99999.0,21.645,0.239,20.108,0.013000000000000001,18.742,0.017,17.746,0.013000000000000001,20.656,0.01,103.0,0.9,20.895,0.25,60.6,14.0,18.96,0.065,209.3,12.6,20.51,23.21,0.84,61.12,1.65,-113.38,1.3
194, J0805+5113 ,121.457701985,51.21993934100001,  2MASS 08054990+5113130 ,2010AJ....139.1808S,935431885521139456,0.16,       ...,                ...,       L1 ,2010AJ....139.1808S,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.264000000000001,0.054000000000000006,14.378,0.063,13.853,0.052000000000000005,13.606,0.024,13.334000000000001,0.028999999999999998,12.529000000000002,0.48200000000000004,-99999.0,-99999.0,21.473000000000003,0.142,19.590999999999998,0.006,18.093,0.01,17.139,0.009000000000000001,20.065,0.005,177.6,0.8,21.409000000000002,0.34299999999999997,37.8,11.9,18.441,0.025,337.5,7.8,20.053,24.08,0.62,-35.12,1.09,-69.41,0.73
195, J0808+4107 ,122.245816255,41.127950459000004,  2MASS 08085899+4107412 ,2010AJ....139.1808S,921659093634512640,0.09,       ...,                ...,       L2 ,2010AJ....139.1808S,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.744000000000002,0.077,14.875,0.08,14.325,0.066,14.054,0.027000000000000003,13.792,0.037000000000000005,12.032,-99999.0,23.069000000000003,-99999.0,21.816999999999997,0.166,20.066,0.015,18.622,0.009000000000000001,17.598,0.022000000000000002,20.555,0.011000000000000001,113.1,1.1,19.783,0.544,168.7,84.5,18.909000000000002,0.055,219.4,11.0,20.515,18.35,1.11,0.42,1.83,-33.84,1.16
196, J0812-2444 ,123.132793826,-24.745737815, DENIS-P J0812316-244442 ,2008MNRAS.383..831P,5697787766170389888,0.05,       ...,                ...,    L2.5: ,2008MNRAS.383..831P,       L1 ,2014ApJ...794..143B,      ... ,               ... ,47.282,0.094,2014A&A...565A..20S,13.817,0.028999999999999998,12.929,0.027000000000000003,12.390999999999998,0.024,12.059000000000001,0.023,11.860999999999999,0.022000000000000002,11.4,0.17300000000000001,22.113000000000003,0.177,20.545,0.046,18.236,0.006,16.814,0.005,15.869000000000002,0.005,18.702,0.002,623.1,1.2,20.99,0.205,55.5,10.5,17.061,0.011000000000000001,1203.4,11.8,18.762,47.24,0.23,135.53,0.33,-140.87,0.32
197, J0817-6155 ,124.37356425200001,-61.916282932,  DENIS J081730.0-615520 ,2010ApJ...718L..38A,5278042880077383040,0.45,       ...,                ...,      ... ,               ... ,       T6 ,2010ApJ...718L..38A,      ... ,               ... ,203.0,13.0,2010ApJ...718L..38A,13.613,0.024,13.526,0.031,13.52,0.043,12.972000000000001,0.023,11.265,0.02,9.661,0.033,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.007,0.004,187.3,0.8,20.92,0.166,59.2,9.0,17.964000000000002,0.02,523.6,9.8,21.197,191.53,0.6,-156.45,1.26,1099.6,1.21
198, J0817+1947 ,124.468904992,19.790840275999997,  2MASS 08175266+1947279 ,2008AJ....135..785W,663556710472937344,0.15,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.573,0.052000000000000005,14.829,0.062,14.35,0.052000000000000005,14.007,0.026000000000000002,13.725999999999999,0.04,11.931,-99999.0,23.71,0.27,22.055999999999997,0.063,19.772000000000002,0.016,18.33,0.009000000000000001,17.340999999999998,0.006999999999999999,20.295,0.006999999999999999,143.6,1.0,21.485,0.20199999999999999,35.2,6.5,18.555999999999997,0.034,303.5,9.6,20.252,17.52,1.44,-101.68,2.53,-46.22,1.38
199, J0817+1824 ,124.48957129799999,18.401471099000002,  2MASS 08175749+1824048 ,2010AJ....139.1808S,657215659413023744,0.02,       ...,                ...,       L1 ,2010AJ....139.1808S,       L2 ,2014ApJ...794..143B,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.093,0.038,14.29,0.040999999999999995,13.815999999999999,0.035,13.44,0.024,13.187999999999999,0.028999999999999998,12.357000000000001,0.439,21.69,-99999.0,21.776999999999997,0.061,19.441,0.01,17.947,0.006999999999999999,16.962,0.01,19.892,0.006,208.2,1.1,20.432000000000002,0.242,92.9,20.7,18.192999999999998,0.022000000000000002,424.3,8.7,19.945,22.35,0.64,4.79,1.06,28.26,0.73
200, J0818+3310 ,124.550433696,33.18021993,  2MASS 08181234+3310479 ,2010AJ....139.1808S,901684785582426496,0.07,       ...,                ...,       L0 ,2010AJ....139.1808S,     L1.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.985,0.091,15.368,0.105,15.062999999999999,0.139,14.343,0.027999999999999997,14.092,0.045,12.665999999999999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.493000000000002,0.03,18.972,0.013000000000000001,17.972,0.008,20.921999999999997,0.016,80.6,1.2,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.944000000000003,14.17,2.05,-175.65,2.85,42.86,2.27
201, J0818+2453 ,124.560077534,24.892753217,  2MASS 08181438+2453387 ,2010AJ....139.1808S,679317904713389952,0.18,       ...,                ...,       L0 ,2010AJ....139.1808S,      ... ,               ... ,      L0p ,2016A&A...589A..49S,-99999.0,-99999.0,               ... ,16.369,0.092,15.535,0.094,14.905999999999999,0.09300000000000001,14.68,0.03,14.475,0.055,12.318,-99999.0,-99999.0,-99999.0,22.179000000000002,0.161,20.465,0.016,18.82,0.016,17.863,0.021,20.875,0.013000000000000001,84.2,1.0,20.819000000000003,0.345,65.0,20.6,18.998,0.055999999999999994,202.2,10.4,20.81,16.16,1.88,34.41,3.46,-288.12,4.08
205, J0825+2115 ,126.329388577,21.263016116,  2MASSI J0825196+211552 ,2000AJ....120..447K,664214600677732864,0.25,       ...,                ...,     L7.5 ,2000AJ....120..447K,       L6 ,2004AJ....127.3553K,      ... ,               ... ,93.8,1.0,2002AJ....124.1170D,15.1,0.034,13.792,0.032,13.027999999999999,0.026000000000000002,12.091,0.023,11.573,0.021,10.509,0.096,-99999.0,-99999.0,-99999.0,-99999.0,20.505,0.05,18.271,0.024,17.261,0.024,20.448,0.009000000000000001,124.8,1.0,21.127,0.079,49.0,3.6,18.54,0.05,308.1,14.3,20.06,92.22,1.18,-508.5,1.76,-303.69,1.31
207, J0826+1939 ,126.67791326,19.655971895,  2MASS 08264262+1939224 ,2008AJ....135..785W,663721985110927488,0.06,       ...,                ...,       L0 ,2008AJ....135..785W,       M9 ,2014ApJ...794..143B,      ... ,               ... ,-99999.0,-99999.0,               ... ,14.777000000000001,0.032,14.009,0.034,13.581,0.034,13.267999999999999,0.024,12.96,0.027999999999999997,11.96,-99999.0,23.912,0.29,21.375999999999998,0.038,18.844,0.009000000000000001,17.386,0.005,16.465999999999998,0.004,19.343,0.004,345.3,1.2,20.215,0.193,113.4,20.2,17.662,0.01,691.7,6.3,19.504,23.73,0.4,59.23,0.75,-49.98,0.49
208, J0828-1309 ,127.139809069,-13.155393125,        SSSPM J0829-1309 ,2002MNRAS.336L..49S,5723739672264914176,0.23,       ...,                ...,       L2 ,2005A&A...440.1061L,      L2: ,2013AJ....146..161M,      ... ,               ... ,85.838,0.14800000000000002,2014A&A...565A..20S,12.802999999999999,0.03,11.850999999999999,0.022000000000000002,11.297,0.021,10.925999999999998,0.023,10.679,0.021,10.092,0.052000000000000005,-99999.0,-99999.0,19.416,0.013999999999999999,17.160999999999998,0.004,15.752,0.002,14.775,0.004,17.602999999999998,0.002,1714.6,2.7,20.706,0.146,72.2,9.7,15.999,0.013000000000000001,3199.4,39.5,17.695999999999998,85.54,0.17,-581.56,0.25,27.54,0.19
209, J0829+1456 ,127.277386674,14.938418765,  2MASSW J0829066+145622 ,2000AJ....120..447K,651750158907764224,0.12,       ...,                ...,       L2 ,2000AJ....120..447K,       L1 ,2014ApJ...794..143B,      ... ,               ... ,-99999.0,-99999.0,               ... ,14.75,0.03,13.800999999999998,0.036000000000000004,13.165999999999999,0.033,12.811,0.024,12.588,0.027000000000000003,11.96,-99999.0,-99999.0,-99999.0,21.303,0.048,19.141,0.011000000000000001,17.785999999999998,0.006,16.852,0.012,19.689,0.005,251.0,1.1,21.752,0.20800000000000002,27.5,5.3,18.04,0.024,488.3,10.6,19.549,38.17,0.57,-55.95,1.0,-241.1,0.61
210, J0829+0917 ,127.440163827,9.298054745,ULAS J082945.67+091753.2 ,2016A&A...589A..49S,599838568536270848,0.03,       ...,                ...,      ... ,               ... ,      ... ,               ... ,     L1.5 ,2016A&A...589A..49S,-99999.0,-99999.0,           -99999. ,15.850999999999999,0.09699999999999999,15.08,0.11199999999999999,14.547,0.106,14.171,0.027999999999999997,13.873,0.044000000000000004,11.633,-99999.0,22.534000000000002,-99999.0,20.493000000000002,-99999.0,20.247,0.024,18.776,0.013999999999999999,17.823,0.005,20.785999999999998,0.013000000000000001,91.4,1.0,20.174,0.473,117.8,51.3,19.092,0.10099999999999999,185.4,17.3,20.482,13.28,1.73,-45.89,3.13,-31.93,1.76
211, J0830+2203 ,127.613436956,22.062286709000002, SDSSJ083027.24+220345.0 ,2010AJ....139.1808S,665750201810233344,0.14,       ...,                ...,       L0 ,2010AJ....139.1808S,      ... ,               ... ,   -99999.,           -99999. ,-99999.0,-99999.0,           -99999. ,15.66,0.06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.340999999999998,0.006999999999999999,137.7,0.9,21.123,0.22399999999999998,49.1,10.1,18.633,0.025,282.9,6.5,20.395,16.77,0.94,-8.16,1.62,-82.16,1.07
212, J0831+1538 ,127.841080664,15.647071342,  2MASS 08312221+1538511 ,2010AJ....139.1808S,652644680337290496,0.13,       ...,                ...,       L1 ,2010AJ....139.1808S,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.786,0.08900000000000001,14.892999999999999,0.07400000000000001,14.537,0.09300000000000001,14.079,0.028999999999999998,13.776,0.051,11.956,-99999.0,-99999.0,-99999.0,22.168000000000003,0.099,19.973,0.013000000000000001,18.423,0.006,17.427,0.008,20.427,0.009000000000000001,127.3,1.1,21.92,0.264,23.6,5.7,18.733,0.053,257.9,12.5,20.424,19.61,1.1,-289.6,1.97,-88.39,1.29
213, J0832-0128 ,128.019096641,-1.4766319469999998,  2MASSW J0832045-012835 ,2000AJ....120..447K,3073123351683582720,0.02,       ...,                ...,     L1.5 ,2000AJ....120..447K,       L1 ,2014ApJ...794..143B,      ... ,               ... ,40.44,1.83,2016AJ....152...24W,14.128,0.03,13.318,0.023,12.712,0.027000000000000003,12.421,0.023,12.18,0.023,11.626,0.24,23.451,-99999.0,20.842,0.027999999999999997,18.565,0.005,17.099,0.005,16.139,0.006,19.005,0.003,471.5,1.2,21.236,0.255,44.3,10.4,17.39,0.011000000000000001,888.6,8.6,19.14,42.24,0.42,62.53,0.74,10.49,0.52
214, J0834+0305 ,128.610493156,3.099531238,ULAS J083426.58+030558.0 ,2016A&A...589A..49S,3080185239992126848,0.05,       ...,                ...,      ... ,               ... ,      ... ,               ... ,     L0.5 ,2016A&A...589A..49S,-99999.0,-99999.0,           -99999. ,15.81,0.077,14.937000000000001,0.077,14.555,0.08900000000000001,14.081,0.027999999999999997,13.878,0.04,12.527000000000001,0.502,-99999.0,-99999.0,-99999.0,-99999.0,20.042,0.009000000000000001,18.52,0.009000000000000001,17.535999999999998,0.009000000000000001,20.5,0.006,119.0,0.6,21.513,0.146,34.3,4.6,18.82,0.027000000000000003,238.0,5.8,20.506999999999998,14.24,0.94,-112.49,1.59,34.6,1.07
