SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR
 J1733-1654 ,263.426467820,-16.914086910, DENIS-P J1733423-165449 ,2008MNRAS.383..831P, 4124397553254685440,  0.05,       ...,                ...,    L0.5: ,2008MNRAS.383..831P,       L1 ,2014ApJ...794..143B,      ... ,               ... ,    55.272,     0.073,2014A&A...565A..20S,    13.528,     0.054,    12.805,     0.062,    12.350,     0.033,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.593,-99999.000,    17.756,-99999.000,    18.046,     0.021,    16.508,     0.004,    15.508,     0.007,    18.416,     0.003,     810.6,     2.1,    19.528,     0.225,     213.6,    44.3,    16.674,     0.017,    1717.9,    26.8,    18.021,   55.32, 0.36,   71.18, 0.63,  -38.40, 0.49
 J1739+2454 ,264.855193856, 24.909189230,  2MASS 17392515+2454421 ,2010ApJS..190..100K, 4581695915363428736,  0.23,       ...,                ...,      ... ,               ... ,       L4 ,2010ApJS..190..100K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.802,     0.070,    14.647,     0.060,    13.946,     0.054,    13.268,     0.024,    13.001,     0.027,    12.147,     0.269,-99999.000,-99999.000,-99999.000,-99999.000,    20.333,     0.064,    18.639,     0.025,    17.624,     0.027,    20.697,     0.009,      99.2,     0.8,    21.560,     0.281,      32.9,     8.5,    18.985,     0.040,     204.5,     7.5,    20.617,   41.70, 0.94,   80.38, 1.37, -600.04, 1.76
 J1743+8526 ,265.779865970, 85.448711832,  2MASS 17430860+8526594 ,2012ApJ...760..152L, 1724495516135399936,  0.28,       ...,                ...,      ... ,               ... ,       L5 ,2012ApJ...760..152L,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.557,     0.043,    13.823,     0.041,    13.467,     0.046,    12.860,     0.024,    12.527,     0.022,    12.105,     0.207,-99999.000,-99999.000,    21.418,     0.111,    19.574,     0.028,    17.700,     0.017,    16.621,     0.009,    19.757,     0.007,     235.9,     1.4,    21.490,     0.162,      35.0,     5.2,    18.031,     0.023,     492.6,    10.2,    20.004,   45.35, 0.40,  -97.69, 0.68, -274.25, 0.70
 J1743+1549 ,265.903086242, 15.816868808,  2MASS 17433635+1549025 ,2014ApJ...786L..18L, 4501162495423931776,  0.19,       ...,                ...,      ... ,               ... ,L1 p(blue),2014ApJ...786L..18L,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.455,     0.026,    13.786,     0.030,    13.501,     0.036,    13.057,     0.024,    12.803,     0.026,    11.983,     0.303,-99999.000,-99999.000,    21.341,     0.017,    18.792,     0.004,    17.186,     0.005,    16.248,     0.002,    19.164,     0.004,     407.1,     1.5,    21.318,     0.308,      41.0,    11.6,    17.507,     0.014,     797.6,    10.6,    19.440,   30.72, 0.70,  319.50, 1.03, -100.70, 0.90
 J1743+2127 ,265.923607500, 21.452967811,  2MASSW J1743415+212707 ,2000AJ....120..447K, 4556014656644051456,  0.05,       ...,                ...,     L2.5 ,2000AJ....120..447K,     L2.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.830,     0.089,    14.785,     0.064,    14.321,     0.097,    13.395,     0.027,    13.151,     0.029,    12.600,     0.488,-99999.000,-99999.000,-99999.000,-99999.000,    20.295,     0.028,    18.859,     0.028,    18.004,     0.024,    20.840,     0.007,      87.0,     0.6,    21.331,     0.151,      40.5,     5.6,    19.083,     0.029,     187.0,     5.0,    20.665,   30.80, 1.15,  159.77, 1.18,  227.88, 2.50
 J1745-1640 ,266.394925655,-16.682087960, DENIS-P J1745346-164053 ,2008MNRAS.383..831P, 4123874907297370240,  0.09,       ...,                ...,    L1.5: ,2008MNRAS.383..831P,     L1.5 ,2014ApJ...794..143B,      ... ,               ... ,    50.871,     0.096,2014A&A...565A..20S,    13.646,     0.029,    12.879,     0.021,    12.402,     0.023,    12.108,     0.025,    11.865,     0.027,    12.286,     0.460,-99999.000,-99999.000,    20.495,     0.128,    18.126,     0.024,    16.533,     0.009,    15.582,     0.005,    18.429,     0.002,     801.5,     1.7,    20.268,     0.292,     108.0,    29.0,    16.754,     0.025,    1596.4,    36.3,    18.749,   51.03, 0.30,  106.92, 0.49, -100.33, 0.41
 J1746+5034 ,266.551844730, 50.567698452,  2MASS 17461199+5034036 ,2008AJ....136.1290R, 1367315968397315584,  0.20,       ...,                ...,       L5 ,2008AJ....136.1290R,     L5.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.096,     0.058,    14.047,     0.055,    13.529,     0.044,    12.876,     0.023,    12.561,     0.022,    12.132,     0.220,-99999.000,-99999.000,    21.843,     0.068,    20.079,     0.015,    18.210,     0.018,    17.170,     0.007,    20.270,     0.007,     147.0,     1.0,    21.501,     0.205,      34.7,     6.5,    18.475,     0.037,     327.1,    11.2,    20.340,   48.28, 0.55,  290.86, 1.12,   19.63, 1.19
 J1750-0016 ,267.601667205, -0.269982034,  2MASS 17502484-0016151 ,2007A&A...466.1059K, 4371611781971072768,  0.20,       ...,                ...,      ... ,               ... ,     L5.5 ,2007A&A...466.1059K,      ... ,               ... ,   108.780,     0.830,2016AJ....152...24W,    13.294,     0.023,    12.411,     0.022,    11.849,     0.021,    11.182,     0.023,    10.906,     0.019,    10.287,     0.069,-99999.000,-99999.000,    20.200,     0.017,    18.215,     0.006,    16.341,     0.007,    15.356,     0.006,    18.294,     0.004,     907.2,     3.3,-99999.000,-99999.000,  -99999.0,-99999.0,-99999.000,-99999.000,  -99999.0,-99999.0,    18.599,  108.27, 0.26, -397.15, 0.46,  197.92, 0.40
 J1753-6559 ,268.437718213,-66.000270056,  2MASS 17534518-6559559 ,2008AJ....136.1290R, 5908794218026022144,  0.08,       ...,                ...,     L4:: ,2008AJ....136.1290R,      L4: ,2013AJ....146..161M,      ... ,               ... ,    58.000,     4.900,2013AJ....146..161M,    14.095,     0.028,    13.108,     0.027,    12.424,     0.029,    11.849,     0.024,    11.532,     0.022,    11.032,     0.099,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.344,     0.003,     344.8,     0.9,    21.260,     0.136,      43.3,     5.4,    17.712,     0.011,     660.7,     6.8,    19.141,   63.82, 0.32,  -52.88, 0.34, -341.97, 0.46
 J1756+2815 ,269.041875372, 28.254732142,  2MASS 17561080+2815238 ,2010ApJS..190..100K, 4584405146372926720,  0.36,       ...,                ...,    L1 sd ,2010ApJS..190..100K,L1 p(blue),2010ApJS..190..100K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.712,     0.033,    14.135,     0.041,    13.813,     0.041,    13.384,     0.024,    13.068,     0.026,    12.578,     0.410,-99999.000,-99999.000,-99999.000,-99999.000,    19.038,     0.003,-99999.000,-99999.000,    16.453,     0.015,    19.403,     0.004,     326.6,     1.1,    21.339,     0.230,      40.3,     8.5,    17.709,     0.013,     662.5,     7.8,    19.753,   28.94, 0.37, -613.74, 0.57, -413.40, 0.67
