SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR
 J0001+0652 ,  0.252184993,  6.883148170,ULAS J000100.45+065259.6 ,2016A&A...589A..49S, 2745484004891661056,  0.04,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    14.831,     0.036,    14.031,     0.053,    13.548,     0.043,    13.332,     0.024,    13.017,     0.031,    12.262,     0.454,    21.419,-99999.000,    21.490,     0.038,    18.972,     0.007,    17.564,     0.005,    16.611,     0.006,    19.507,     0.003,     296.8,     0.9,    21.535,     0.136,      33.6,     4.2,    17.836,     0.014,     589.2,     7.4,    19.484,   20.73, 0.54,  102.92, 0.96,  -28.64, 0.44
 J0001+1535 ,  0.301328494, 15.592454509,  2MASS 00011217+1535355 ,2004AJ....127.3553K, 2772182900286956160,  0.18,       ...,                ...,      ... ,               ... ,       L4 ,2004AJ....127.3553K,    L5.5p ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    15.522,     0.062,    14.505,     0.053,    13.710,     0.044,    12.965,     0.024,    12.539,     0.024,    11.672,     0.237,-99999.000,-99999.000,-99999.000,-99999.000,    20.369,     0.011,    18.850,     0.018,    17.814,     0.011,    20.798,     0.013,      90.4,     1.1,    21.451,     0.332,      36.3,    11.1,    19.090,     0.069,     185.7,    11.8,    20.478,   31.63, 1.80,  143.49, 4.47, -174.72, 2.40
 J0004-4044 ,  1.149080364,-40.741579488,               GJ 1001 B ,1999A&A...351L...5G, 4996141155411984128,  0.75,      VB; ,2004AJ....128.1733G,       L5 ,2001AJ....121.3235K,     L4.5 ,2004AJ....127.3553K,      ... ,               ... ,    77.020,     2.070,2014AJ....147...94D,    13.109,     0.024,    12.055,     0.026,    11.396,     0.026,    10.736,     0.022,    10.463,     0.020,     9.803,     0.048,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    18.353,     0.003,     859.2,     2.4,    21.350,     0.158,      39.9,     5.8,    16.638,     0.013,    1776.2,    20.6,    18.137,   82.09, 0.38,  671.09, 0.35,-1498.16, 0.51
 J0006-1720 ,  1.585252334,-17.347412802,  2MASSI J0006205-172051 ,2003A&A...403..929K, 2414607592787544320,  0.03,       ...,                ...,     L2.5 ,2003A&A...403..929K,       L3 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.662,     0.065,    14.646,     0.059,    14.010,     0.052,    13.472,     0.026,    13.179,     0.028,    12.334,     0.410,    24.159,-99999.000,    21.796,     0.180,    20.259,     0.009,    18.832,     0.014,    17.803,     0.014,    20.731,     0.014,      96.1,     1.2,-99999.000,-99999.000,  -99999.0,-99999.0,-99999.000,-99999.000,  -99999.0,-99999.0,    20.617,   25.18, 1.88,  -32.72, 3.27,   10.38, 2.00
 J0006-0852 ,  1.704582613, -8.880870625,   2MASS 00064916-0852457,2008AJ....135..785W, 2429054454021227648,  0.18,      UR; ,2012ApJ...757..110B,       M9 ,2008AJ....135..785W,      M8: ,2012ApJ...757..110B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.143,     0.030,    13.551,     0.028,    13.132,     0.039,    12.762,     0.023,    12.353,     0.027,    11.637,     0.250,    23.010,     0.200,    20.889,     0.025,    18.241,     0.003,    16.768,     0.005,    15.885,     0.028,    18.705,     0.002,     621.3,     1.2,    20.503,     0.302,      86.9,    24.2,    17.057,     0.015,    1207.5,    16.9,    18.845,   34.07, 0.39,  -57.33, 0.72, -321.09, 0.40
 J0006-6436 ,  1.742245558,-64.615330945,  2MASS 00065794-6436542 ,2008AJ....136.1290R, 4900323420040865792,  0.04,      MG; ,2014ApJ...783..121G,       L0 ,2011ApJ...727..103T,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.385,     0.026,    12.664,     0.030,    12.169,     0.033,    11.741,     0.022,    11.421,     0.021,    11.063,     0.143,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    18.207,     0.003,     983.0,     2.4,    21.259,     0.204,      43.4,     8.1,    16.517,     0.007,    1986.3,    12.9,    18.162,   23.26, 0.30,   86.92, 0.46,  -61.66, 0.48
 J0010-2031 ,  2.500965178,-20.520035398,  2MASS 00100009-2031122 ,2007AJ....133..439C, 2364740071837660672,  0.06,       ...,                ...,       L0 ,2007AJ....133..439C,      M9: ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.134,     0.024,    13.368,     0.030,    12.882,     0.030,    12.544,     0.024,    12.281,     0.024,    11.985,     0.305,-99999.000,-99999.000,    20.825,     0.029,    18.443,     0.006,    16.971,     0.004,    15.986,     0.010,    18.861,     0.003,     538.0,     1.5,    21.583,     0.164,      32.2,     4.8,    17.227,     0.012,    1032.5,    11.0,    18.864,   35.22, 0.39,  115.49, 0.51,    6.15, 0.42
 J0013-2235 ,  3.491106518,-22.589263482,  2MASSI J0013578-223520 ,2003A&A...403..929K, 2361294885296927488,  0.20,       ...,                ...,       L4 ,2003A&A...403..929K,     L5.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.775,     0.065,    14.595,     0.062,    14.036,     0.051,    13.318,     0.025,    13.036,     0.029,    12.100,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.628,     0.025,    18.836,     0.031,    17.795,     0.021,    20.883,     0.012,      83.6,     0.9,    21.181,     0.402,      46.6,    17.2,    19.156,     0.045,     174.7,     7.2,    20.851,   36.81, 1.96,   67.64, 2.25,  -67.35, 2.85
 J0014-0838 ,  3.711069681, -8.640151419,WISEA J001450.17-083823.4,2014ApJ...783..122K, 2429285424478485504,  0.70,       ...,                ...,    L0 sd ,2014ApJ...783..122K,    M9 sd ,2014ApJ...786L..18L,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.469,     0.026,    13.950,     0.026,    13.769,     0.044,    13.429,     0.025,    13.204,     0.030,    12.041,-99999.000,    21.388,     0.025,    20.103,     0.006,    17.402,     0.057,    16.258,     0.003,    15.773,     0.006,    18.126,     0.002,    1059.4,     1.7,    20.543,     0.217,      83.8,    16.7,    16.609,     0.011,    1825.2,    18.1,    18.901,   20.14, 0.28, 1477.22, 0.56, -257.96, 0.28
 J0014-4844 ,  3.738064194,-48.736816623,  2MASS 00145575-4844171 ,2008ApJ...689.1295K, 4977142934516994176,  0.47,       ...,                ...,   L2.5 p ,2008ApJ...689.1295K,    L2.5: ,2013AJ....146..161M,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.050,     0.035,    13.107,     0.036,    12.723,     0.030,    12.267,     0.023,    11.987,     0.022,    11.425,     0.157,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.068,     0.002,     444.6,     0.8,    21.418,     0.137,      37.4,     4.7,    17.361,     0.009,     912.3,     7.8,    19.110,   50.11, 0.39,  870.73, 0.28,  281.47, 0.43
 J0015+3516 ,  3.936848081, 35.266292879,  2MASSW J0015447+351603 ,2000AJ....120..447K, 2876239130257160960,  0.12,       ...,                ...,       L2 ,2000AJ....120..447K,       L1 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.878,     0.031,    12.892,     0.036,    12.264,     0.024,    11.794,     0.023,    11.538,     0.021,    10.949,     0.100,-99999.000,-99999.000,    20.377,     0.025,    18.183,     0.008,    16.813,     0.006,    15.883,     0.005,    18.682,     0.002,     634.8,     1.5,    21.590,     0.127,      32.0,     3.7,    17.075,     0.009,    1187.5,     9.4,    18.589,   58.61, 0.37,   55.17, 0.45, -257.10, 0.28
 J0016-1039 ,  4.156241659,-10.653845087,  2MASS 00163762-1039106 ,2008AJ....135..785W, 2428008410441149824,  0.12,       ...,                ...,       L0 ,2008AJ....135..785W,       M9 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.455,     0.052,    14.780,     0.069,    14.533,     0.096,    14.136,     0.028,    13.823,     0.041,    12.354,     0.443,    25.500,     0.710,    22.640,     0.240,    19.705,     0.022,    18.230,     0.009,    17.344,     0.011,    20.220,     0.008,     153.9,     1.1,    21.834,     0.211,      25.5,     4.9,    18.556,     0.026,     303.7,     7.2,    20.421,   15.89, 0.78, -119.99, 1.42, -191.89, 0.83
 J0016-4056 ,  4.249290320,-40.948233257,  2MASS 00165953-4056541 ,2008ApJ...689.1295K, 4995583325059035008,  0.27,       ...,                ...,     L3.5 ,2008ApJ...689.1295K,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.316,     0.061,    14.206,     0.048,    13.432,     0.038,    12.828,     0.024,    12.452,     0.022,    12.795,     0.405,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.601,     0.009,     108.4,     0.9,    21.604,     0.239,      31.5,     6.9,    18.964,     0.036,     208.5,     6.9,    20.227,   27.63, 1.20,  212.81, 1.27,   18.19, 1.25
 J0018-6356 ,  4.695266909,-63.938302789,  2MASS 00184613-6356122 ,2008AJ....136.1290R, 4900453540369793408,  0.24,       ...,                ...,       L2 ,2008AJ....136.1290R,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.224,     0.044,    14.229,     0.044,    13.611,     0.041,    13.286,     0.024,    13.021,     0.025,    12.489,     0.304,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.992,     0.006,     189.8,     1.0,    21.590,     0.327,      32.0,     9.6,    18.361,     0.025,     363.2,     8.2,    20.071,   27.31, 0.53,  332.60, 0.83, -391.94, 0.84
 J0019+0030 ,  4.798400971,  0.504712001,  2MASS 00191165+0030176 ,2002AJ....123.3409H, 2545563520758981760,  0.06,       ...,                ...,       L1 ,2002AJ....123.3409H,     L0.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.921,     0.037,    14.180,     0.041,    13.568,     0.034,    13.258,     0.025,    13.010,     0.028,    12.196,     0.428,    21.822,-99999.000,    21.488,     0.072,    19.336,     0.015,    17.866,     0.004,    16.900,     0.013,    19.817,     0.003,     223.1,     0.7,    20.911,     0.320,      59.7,    17.6,    18.123,     0.017,     452.3,     7.3,    19.685,   26.11, 0.61,  -33.52, 1.35,  -44.16, 0.96
 J0019+4018 ,  4.886018648, 40.315111479,             NLTT 1011 B ,2014ApJ...792..119D,  380379453539222784,  0.11,      VB; ,2014ApJ...792..119D,      ... ,               ... ,       L2 ,2014ApJ...792..119D,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.544,     0.059,    14.928,     0.069,    14.318,     0.066,    13.759,     0.024,    13.441,     0.029,    12.871,     0.535,-99999.000,-99999.000,-99999.000,-99999.000,    20.185,     0.022,    18.664,     0.005,    17.632,     0.008,    20.668,     0.008,     101.9,     0.7,    21.569,     0.169,      32.6,     5.1,    18.948,     0.034,     211.7,     6.7,    20.595,   17.81, 1.53,  -78.15, 1.59, -193.04, 0.82
 J0019-3724 ,  4.914625414,-37.410826845,  2MASS 00193927-3724392 ,2010ApJ...710.1142B, 4998742462483975424,  0.28,       ...,                ...,      L3: ,2010ApJ...710.1142B,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.519,     0.060,    14.470,     0.040,    13.689,     0.058,    13.141,     0.023,    12.831,     0.024,    12.540,     0.495,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.702,     0.012,      98.8,     1.0,    22.105,     0.441,      19.9,     8.1,    19.016,     0.048,     198.7,     8.7,    20.332,   25.27, 1.85,  161.57, 3.50,   18.45, 2.13
 J0021-4244 ,  5.276170247,-42.745423869,         Koenigstuhl 1 B ,2000ApJ...538..363B, 4992141475707360640,  0.09,      VB; ,2007ApJ...667..520C,     M9.5 ,2000ApJ...538..363B,      ... ,               ... ,      ... ,               ... ,    39.770,     2.100,2014AJ....147...94D,    13.521,     0.025,    12.809,     0.025,    12.304,     0.025,    11.912,     0.023,    11.607,     0.022,    11.180,     0.105,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    18.355,     0.004,     858.0,     3.0,    20.697,     0.156,      72.7,    10.5,    16.672,     0.006,    1721.2,     9.7,    18.245,   38.52, 0.54,  258.64, 0.73,   -1.88, 0.70
 J0022-0110 ,  5.539335964, -1.177589084,  2MASS 00220932-0110399 ,2008AJ....135..785W, 2542048347725825024,  0.06,       ...,                ...,       L0 ,2008AJ....135..785W,       M9 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.816,     0.066,    15.087,     0.081,    14.699,     0.101,    14.373,     0.029,    14.077,     0.047,    12.272,-99999.000,    24.130,     0.600,    21.933,     0.147,    19.769,     0.015,    18.309,     0.010,    17.429,     0.006,    20.317,     0.007,     140.7,     0.9,    21.624,     0.219,      31.0,     6.2,    18.600,     0.019,     291.7,     5.0,    20.376,   12.87, 1.21,  116.32, 2.56,   48.47, 1.33
 J0024-0158 ,  6.102310595, -1.971606058,            BRI0021-0214 ,1991MNRAS.252P..61I, 2541756977144595712,  0.08,       ...,                ...,     M9.5 ,2007AJ....133..439C,     L0.5 ,2014ApJ...794..143B,      ... ,               ... ,    80.710,     0.950,2016AJ....152...24W,    11.992,     0.033,    11.084,     0.020,    10.539,     0.021,    10.166,     0.024,     9.900,     0.019,     9.412,     0.039,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    16.596,     0.001,    4335.8,     4.8,    19.853,     0.049,     158.2,     7.2,    14.993,     0.005,    8080.7,    37.8,    17.819,   79.97, 0.22,  -77.17, 0.46,  141.11, 0.28
 J0026-0943 ,  6.546806682, -9.728676501,  2MASS 00261147-0943406 ,2010AJ....139.1808S, 2426636872764826112,  0.13,       ...,                ...,       L1 ,2010AJ....139.1808S,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.601,     0.068,    14.999,     0.082,    14.379,     0.073,    14.040,     0.027,    13.815,     0.040,    11.898,-99999.000,-99999.000,-99999.000,    21.488,     0.161,    20.054,     0.018,    18.536,     0.013,    17.562,     0.012,    20.514,     0.011,     117.4,     1.2,    21.158,     0.293,      47.6,    12.8,    18.800,     0.048,     242.5,    10.8,    20.362,   17.05, 1.20, -215.22, 2.46, -155.43, 1.44
 J0026+0632 ,  6.668619442,  6.537361408,ULAS J002640.45+063215.1 ,2016A&A...589A..49S, 2747837646968986624,  0.04,       ...,                ...,      ... ,               ... ,      ... ,               ... ,     L0.5 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    14.572,     0.033,    13.752,     0.035,    13.220,     0.038,    12.960,     0.025,    12.684,     0.027,    12.101,     0.381,-99999.000,-99999.000,    21.186,     0.049,    18.883,     0.009,    17.350,     0.010,    16.376,     0.008,    19.307,     0.004,     357.0,     1.4,    21.229,     0.231,      44.6,     9.5,    17.632,     0.014,     710.9,     9.0,    19.354,   31.25, 0.61,   10.88, 1.25,  -96.26, 0.73
 J0028+2248 ,  7.090163406, 22.815907902,  2MASSJ00282091+2249050 ,2010ApJ...710.1142B, 2800081221135505536,  0.37,       ...,                ...,      ... ,               ... ,      L7: ,2010ApJ...710.1142B,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,    15.607,     0.072,    14.468,     0.053,    13.781,     0.063,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.889,     0.014,      83.1,     1.0,    20.953,     0.472,      57.5,    25.0,    19.188,     0.047,     169.6,     7.4,    20.910,   41.35, 1.99,  564.53, 3.97, -435.72, 3.35
 J0028+1131 ,  7.189320322, 11.531980401,ULAS J002845.37+113154.9 ,2016A&A...589A..49S, 2754575454224004864,  0.14,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    16.012,     0.079,    15.270,     0.100,    14.912,     0.120,    14.440,     0.029,    14.087,     0.051,    12.356,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.094,     0.020,    18.588,     0.008,    17.626,     0.016,    20.575,     0.010,     111.0,     1.0,    21.705,     0.230,      28.7,     6.1,    18.886,     0.035,     224.1,     7.3,    20.626,   13.96, 1.37,  176.44, 3.80,   60.02, 1.80
 J0028-1927 ,  7.231526647,-19.454491697,  2MASS 00285545-1927165 ,2008AJ....136.1290R, 2363496283669200768,  0.07,       ...,                ...,      L0: ,2008AJ....136.1290R,     L0.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.191,     0.029,    13.331,     0.030,    12.845,     0.030,    12.521,     0.023,    12.253,     0.024,    11.831,     0.266,    19.788,     0.035,    20.946,     0.031,    18.551,     0.006,    17.078,     0.007,    16.104,     0.004,    18.988,     0.003,     478.8,     1.2,    21.398,     0.194,      38.1,     6.8,    17.323,     0.013,     945.1,    11.7,    18.824,   25.47, 0.36,  109.22, 0.50,   23.08, 0.42
 J0029+0303 ,  7.351044288,  3.055584177,ULAS J002924.20+030320.5 ,2016A&A...589A..49S, 2547833630018528768,  0.06,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    15.598,     0.056,    14.984,     0.053,    14.384,     0.068,    14.186,     0.028,    13.930,     0.041,    12.235,-99999.000,-99999.000,-99999.000,    22.026,     0.205,    19.839,     0.015,    18.348,     0.009,    17.424,     0.014,    20.336,     0.007,     138.4,     0.9,    20.679,     0.296,      74.0,    20.2,    18.627,     0.031,     284.5,     8.1,    20.342,   13.67, 1.07,  115.23, 1.58,  -68.61, 1.32
 J0030+2244 ,  7.604228935, 22.746128459,              HIP 2397 B ,2014ApJ...792..119D, 2800023565494388480,  0.14,      VB; ,2014ApJ...792..119D,      ... ,               ... ,     L0.5 ,2014ApJ...792..119D,      ... ,               ... ,    29.507,     1.149,2007A&A...474..653V,    14.586,     0.038,    13.975,     0.048,    13.181,-99999.000,    13.097,     0.025,    12.847,     0.027,    12.564,     0.459,    20.174,     0.044,    21.440,     0.040,    18.952,     0.005,    17.451,     0.011,    16.456,     0.009,    19.407,     0.004,     325.3,     1.1,    21.905,     0.352,      23.9,     7.8,    17.759,     0.019,     632.5,    10.8,    19.323,   28.85, 0.50,  194.16, 0.83, -185.03, 0.46
 J0030+3139 ,  7.682336772, 31.658638206,  2MASSW J0030438+313932 ,1999ApJ...519..802K, 2859617950419161600,  0.05,       ...,                ...,       L2 ,1999ApJ...519..802K,       L3 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.480,     0.054,    14.617,     0.057,    14.027,     0.048,    13.485,     0.025,    13.133,     0.028,    12.182,     0.324,-99999.000,-99999.000,    21.863,     0.119,    19.980,     0.013,    18.524,     0.004,    17.537,     0.012,    20.479,     0.010,     121.3,     1.1,    21.348,     0.188,      39.9,     6.9,    18.801,     0.031,     242.4,     7.0,    20.424,   20.17, 1.91,  -66.86, 3.01,  -63.77, 2.85
 J0031-3840 ,  7.833388316,-38.676825243,         SIPS J0031-3840 ,2010A&A...517A..53M, 4997505546262260096,  0.23,       ...,                ...,     L2.5 ,2010A&A...517A..53M,L2 p(blue),2011ApJS..197...19K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.101,     0.032,    13.399,     0.023,    12.924,     0.034,    12.418,     0.024,    12.025,     0.022,    11.556,     0.212,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.070,     0.003,     443.9,     1.2,    21.182,     0.293,      46.5,    12.6,    17.397,     0.015,     883.2,    12.3,    19.184,   41.31, 0.69,  558.09, 0.73,  -31.92, 0.62
 J0032+0219 ,  8.022924282,  2.315771214,  2MASS 00320509+0219017 ,2008AJ....136.1290R, 2547532539925750784,  0.25,       ...,                ...,     L1.5 ,2008AJ....136.1290R,       M9 ,2003IAUS..211..197W,       L2 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    14.324,     0.026,    13.386,     0.024,    12.802,     0.032,    12.462,     0.023,    12.223,     0.025,    11.965,     0.397,-99999.000,-99999.000,    20.940,     0.122,    18.677,     0.010,    17.308,     0.007,    16.323,     0.009,    19.182,     0.003,     400.4,     1.2,    21.322,     0.142,      40.9,     5.4,    17.552,     0.011,     765.2,     7.9,    18.944,   41.05, 0.45,  406.69, 1.00, -326.81, 0.61
 J0032-2237 ,  8.180041222,-22.624251816,  2MASSI J0032431-223727 ,2003A&A...403..929K, 2348571890789987456,  0.24,       ...,                ...,       L1 ,2003A&A...403..929K,    M9.5: ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.388,     0.049,    14.512,     0.047,    13.962,     0.051,    13.694,     0.026,    13.441,     0.032,    12.710,     0.541,    22.711,-99999.000,    21.689,     0.137,    19.669,     0.009,    18.197,     0.002,    17.194,     0.010,    20.130,     0.007,     167.2,     1.1,    20.835,     0.318,      64.1,    18.8,    18.466,     0.020,     329.8,     6.2,    20.000,   22.56, 1.19,   98.18, 2.00,  -12.52, 1.25
 J0032-4405 ,  8.233464391,-44.085351391,      EROS-MP J0032-4405 ,1999A&A...351L...5G, 4980384088633481216,  0.06,      MG; ,2014ApJ...783..121G, L0 gamma ,2009AJ....137.3345C, L0 gamma ,2013ApJ...772...79A,      ... ,               ... ,    38.400,     4.800,2012ApJ...752...56F,    14.776,     0.035,    13.857,     0.034,    13.269,     0.037,    12.839,     0.024,    12.524,     0.024,    11.798,     0.246,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.781,     0.004,     230.6,     1.0,    21.000,     0.231,      55.0,    11.7,    18.071,     0.016,     474.5,     7.0,    19.311,   28.57, 0.49,  127.98, 0.56,  -97.43, 0.67
 J0033-1521 ,  8.350816057,-15.358474752,  2MASS 00332386-1521309 ,2003AJ....125.3302G, 2373841073178592512,  0.11,       ...,                ...,  L4 beta ,2009AJ....137.3345C,       L1 ,2013ApJ...772...79A,      ... ,               ... ,    42.780,     1.830,2016ApJ...833...96L,    15.286,     0.056,    14.208,     0.051,    13.410,     0.039,    12.819,     0.024,    12.497,     0.025,    11.848,     0.310,-99999.000,-99999.000,    21.909,     0.104,    19.877,     0.038,-99999.000,-99999.000,    17.480,     0.014,    20.355,     0.008,     136.0,     1.0,    21.046,     0.288,      52.8,    14.0,    18.667,     0.027,     274.1,     6.8,    19.857,   43.63, 0.93,  302.15, 1.85,   23.07, 1.37
 J0035+0615 ,  8.960442108,  6.265781677,ULAS J003550.62+061558.6 ,2016A&A...589A..49S, 2555495890328622080,  0.24,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    13.780,     0.026,    13.514,     0.036,    11.579,-99999.000,-99999.000,-99999.000,    21.700,     0.043,    19.542,     0.018,    18.070,     0.006,    17.112,     0.013,    20.005,     0.004,     187.6,     0.7,    21.208,     0.159,      45.4,     6.6,    18.333,     0.023,     372.8,     7.9,    19.954,   21.50, 0.87, -337.78, 2.21, -319.55, 0.89
 J0036+1821 ,  9.071222700, 18.353392900,  2MASSW J0036159+182110 ,2000AJ....119..369R, 2794735086363871360,  0.26,       ...,                ...,     L3.5 ,2000AJ....120..447K,       L4 ,2004AJ....127.3553K,      ... ,               ... ,   114.200,     0.800,2002AJ....124.1170D,    12.466,     0.027,    11.588,     0.030,    11.058,     0.021,    10.536,     0.024,    10.245,     0.019,     9.851,     0.054,-99999.000,-99999.000,    19.526,     0.020,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    17.519,     0.002,    1853.1,     2.9,    21.099,     0.127,      50.2,     5.9,    15.869,     0.013,    3607.3,    42.8,    17.727,  114.42, 0.21,  901.56, 0.36,  124.02, 0.21
 J0037-5846 ,  9.430143650,-58.773223152,  2MASS 00374306-5846229 ,2008AJ....136.1290R, 4907052431202692096,  0.07,      MG; ,2014ApJ...783..121G, L0 gamma ,2009AJ....137.3345C,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.374,     0.051,    14.259,     0.051,    13.585,     0.045,    13.149,     0.025,    12.768,     0.025,    12.479,     0.417,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.531,     0.008,     115.6,     0.9,    21.607,     0.287,      31.4,     8.3,    18.783,     0.032,     246.4,     7.2,    19.746,   19.74, 0.90,   88.98, 1.83,  -49.63, 1.65
 J0038+1343 ,  9.683514257, 13.727403858,  2MASS 00384398+1343395 ,2002AJ....123.3409H, 2779363119238642560,  0.02,       ...,                ...,       L1 ,2002AJ....123.3409H,     L0.5 ,2014ApJ...794..143B,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    15.908,     0.069,    15.203,     0.073,    14.758,     0.102,    14.426,     0.030,    14.245,     0.045,    12.055,-99999.000,    21.767,-99999.000,    20.000,-99999.000,    20.303,     0.024,    18.814,     0.013,    17.802,     0.017,    20.783,     0.010,      91.6,     0.8,    20.889,     0.278,      60.9,    15.6,    19.154,     0.081,     175.0,    13.0,    20.416,   12.25, 1.23,   41.02, 2.53,  -46.36, 1.56
 J0041+1341 , 10.476414058, 13.692472405,  2MASS 00415453+1341351 ,2002AJ....123.3409H, 2776324485710775296,  0.15,       ...,                ...,       L0 ,2002AJ....123.3409H,     L0.5 ,2014ApJ...794..143B,     L0.5 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    14.454,     0.034,    13.673,     0.037,    13.236,     0.025,    12.878,     0.024,    12.591,     0.026,    12.271,-99999.000,-99999.000,-99999.000,    21.102,     0.072,    18.742,     0.009,    17.226,     0.003,    16.263,     0.009,    19.169,     0.003,     405.2,     1.3,    21.415,     0.210,      37.5,     7.3,    17.545,     0.016,     770.5,    11.4,    19.290,   32.99, 0.49, -196.02, 0.88, -168.99, 0.37
