SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,LIT_RA,LIT_DEC,DISTMOD
 J1154-3400  , 178.675054127 , -34.010791461 ,   2MASS 11544223-3400390  , 2003AJ....126.1526B ,  3466649768834035712 ,   0.05 ,       MG;  , 2015ApJS..219...33G ,        L0  , 2008APJ...689.1295K ,      L0.5  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.195 ,      0.033 ,     13.331 ,      0.028 ,     12.851 ,      0.033 ,     12.360 ,      0.022 ,     12.048 ,      0.022 ,     11.557 ,      0.154 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     19.150 ,      0.058 ,      412.4 ,     1.2 ,        NaN ,        NaN ,        NaN ,     NaN ,        NaN ,        NaN ,        NaN ,     NaN ,     18.926 ,    26.06 ,  0.34 ,  -167.72 ,  0.49 ,    10.95 ,  0.36 , 178.675080000 , -34.010793000 ,   -2.92
 J1155-3727  , 178.914967166 , -37.463268109 ,   2MASSW J1155395-372735  , 2002APJ...575..484G ,  3460806448649173504 ,   0.54 ,            ,                     ,        L2  , 2002APJ...575..484G ,      L2.5  , 2014APJ...794..143B ,       ...  ,                ...  ,    104.384 ,      4.685 , 2012APJ...752...56F ,     12.811 ,      0.024 ,     12.040 ,      0.026 ,     11.462 ,      0.021 ,     11.042 ,      0.023 ,     10.751 ,      0.020 ,     10.232 ,      0.058 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     17.647 ,      0.025 ,     1646.3 ,     2.4 ,     20.852 ,      1.795 ,       63.1 ,     5.4 ,     16.044 ,      0.165 ,     3069.0 ,    31.6 ,     17.905 ,    84.57 ,  0.19 ,    43.08 ,  0.24 ,  -790.91 ,  0.16 , 178.915000000 , -37.463125000 ,   -0.36
 J1157-4844  , 179.449958552 , -48.745311519 ,  DENIS-P J1157480-484442  , 2008MNRAS.383..831P ,  5371170445500507904 ,   0.03 ,            ,                     ,     L0.5:  , 2008MNRAS.383..831P ,      M9.5  , 2014APJ...794..143B ,       ...  ,                ...  ,     34.633 ,      0.082 , 2014A&A...565A..20S ,     14.007 ,      0.034 ,     13.326 ,      0.032 ,     12.793 ,      0.029 ,     12.483 ,      0.028 ,     12.240 ,      0.029 ,     11.876 ,      0.212 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.778 ,      0.026 ,      580.7 ,     0.8 ,     21.183 ,      1.981 ,       46.5 ,     4.3 ,     17.145 ,      0.097 ,     1113.9 ,     6.3 ,     18.802 ,    35.13 ,  0.24 ,   -65.20 ,  0.36 ,   -17.84 ,  0.25 , 179.450390000 , -48.745232000 ,   -2.27
 J1158-0008  , 179.629704080 ,  -0.147604021 , ULAS J115831.09-000850.4  , 2016A&A...589A..49S ,  3795026681770171264 ,   0.09 ,            ,                     ,       ...  ,                ...  ,       ...  ,                ...  ,        L0  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,            -99999.  ,     16.149 ,      0.079 ,     15.539 ,      0.089 ,     14.839 ,      0.121 ,     14.610 ,      0.031 ,     14.332 ,      0.052 ,     12.494 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.238 ,      0.014 ,     18.789 ,      0.010 ,     17.879 ,      0.012 ,     20.763 ,      0.241 ,       93.3 ,     1.1 ,     21.321 ,      4.423 ,       41.0 ,     8.5 ,     19.002 ,      0.581 ,      201.4 ,     6.2 ,     20.788 ,    12.55 ,  1.90 ,    88.36 ,  3.15 ,  -121.72 ,  2.40 , 179.629690000 ,  -0.147587840 ,   -4.51
 J1159+1528  , 179.879331229 ,  15.475095661 , ULAS J115931.08+152830.3  , 2016A&A...589A..49S ,  3925017577835779456 ,   0.05 ,            ,                     ,       ...  ,                ...  ,       ...  ,                ...  ,        L0  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,            -99999.  ,     14.756 ,      0.033 ,     14.092 ,      0.034 ,     13.610 ,      0.035 ,     13.224 ,      0.024 ,     12.965 ,      0.028 ,     12.104 ,      0.380 , -99999.000 , -99999.000 ,     21.439 ,      0.084 ,     18.839 ,      0.011 ,     17.444 ,      0.008 ,     16.573 ,      0.006 ,     19.377 ,      0.063 ,      334.6 ,     1.1 ,     21.199 ,      3.069 ,       45.8 ,     6.6 ,     17.757 ,      0.264 ,      634.0 ,     9.4 ,     19.533 ,    14.54 ,  0.48 ,  -104.74 ,  0.88 ,    -0.69 ,  0.48 , 179.879350000 ,  15.475095000 ,   -4.19
 J1159+0057  , 179.910461506 ,   0.957399631 ,       DENIS-P J1159+0057  , 1999AJ....118.2466M ,  3891237587037953152 ,   0.32 ,            ,                     ,        L0  , 2002AJ....123.3409H ,      L0.5  , 2014APJ...794..143B ,      L1.5  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,                ...  ,     14.084 ,      0.028 ,     13.310 ,      0.025 ,     12.811 ,      0.030 ,     12.380 ,      0.024 ,     12.051 ,      0.022 ,     11.529 ,      0.213 ,     20.621 , -99999.000 ,     20.963 ,      0.027 ,     18.460 ,      0.004 ,     16.965 ,      0.002 ,     15.994 ,      0.007 ,     18.902 ,      0.052 ,      518.2 ,     1.4 ,     21.238 ,      2.678 ,       44.2 ,     5.6 ,     17.243 ,      0.167 ,     1017.8 ,     9.9 ,     18.831 ,    31.06 ,  0.36 ,    21.32 ,  0.83 ,    -3.63 ,  0.35 , 179.910450000 ,   0.957463030 ,   -2.54
 J1159+5409  , 179.918944903 ,  54.160714948 ,   2MASS 11594076+5409386  , 2010AJ....139.1808S ,   792627865060597760 ,   0.04 ,            ,                     ,        L2  , 2010AJ....139.1808S ,        L1  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.216 ,      0.044 ,     14.339 ,      0.043 ,     13.755 ,      0.043 ,     13.456 ,      0.024 ,     13.208 ,      0.028 ,     12.610 ,      0.475 , -99999.000 , -99999.000 ,     21.675 ,      0.145 ,     19.615 ,      0.011 ,     18.192 ,      0.006 ,     17.212 ,      0.009 ,     20.135 ,      0.120 ,      166.5 ,     1.0 ,     21.207 ,      4.228 ,       45.5 ,     9.1 ,     18.466 ,      0.384 ,      329.8 ,     6.9 ,     20.059 ,    16.18 ,  0.73 ,  -119.66 ,  1.05 ,     1.60 ,  1.09 , 179.918970000 ,  54.160715000 ,   -3.96
 J1202+4204  , 180.707289826 ,  42.080149025 ,   2MASS 12025009+4204531  , 2008AJ....135..785W ,  1537202850034988288 ,   0.23 ,            ,                     ,        L0  , 2008AJ....135..785W ,       ...  ,                ...  ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.499 ,      0.031 ,     13.694 ,      0.030 ,     13.259 ,      0.030 ,     12.944 ,      0.038 ,     12.650 ,      0.041 ,     12.079 ,      0.289 ,     23.420 ,      0.230 ,     21.460 ,      0.060 ,     18.874 ,      0.021 ,     17.402 ,      0.009 ,     16.369 ,      0.008 ,     19.321 ,      0.069 ,      352.4 ,     1.3 ,     21.362 ,      6.023 ,       39.4 ,    11.1 ,     17.673 ,      0.282 ,      684.6 ,    10.9 ,     19.440 ,    31.52 ,  0.41 ,  -222.98 ,  0.55 ,  -290.95 ,  0.48 , 180.708710000 ,  42.081436000 ,   -2.51
 J1202-0227  , 180.719440552 ,  -2.463303857 ,   2MASS 12025263-0227483  , 2008AJ....135..785W ,  3601506205716698496 ,   0.02 ,            ,                     ,        L0  , 2008AJ....135..785W ,       ...  ,                ...  ,      L1.5  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,                ...  ,     15.737 ,      0.065 ,     15.040 ,      0.069 ,     14.374 ,      0.088 ,     14.119 ,      0.029 ,     13.866 ,      0.040 ,     12.326 , -99999.000 ,     22.474 ,      0.490 ,     20.420 ,      0.220 ,     20.175 ,      0.046 ,     18.740 ,      0.010 ,     17.786 ,      0.024 ,     20.674 ,      0.194 ,      101.3 ,     1.0 ,     21.067 ,      5.398 ,       51.7 ,    13.3 ,     18.931 ,      1.073 ,      215.0 ,    12.2 ,     20.302 ,    19.16 ,  1.67 ,    22.29 ,  3.45 ,    30.72 ,  2.08 , 180.719440000 ,  -2.463308500 ,   -3.59
 J1203+0015  , 180.986976506 ,   0.262702292 , SDSSp J120358.19+001550.3 , 2000AJ....119..928F ,  3698979462002285824 ,   0.60 ,            ,                     ,        L3  , 2000AJ....119..928F ,        L5  , 2014APJ...794..143B ,        L4  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,                ...  ,     14.006 ,      0.026 ,     13.056 ,      0.024 ,     12.476 ,      0.024 ,     11.900 ,      0.024 ,     11.645 ,      0.022 ,     11.160 ,      0.179 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.886 ,      0.005 ,     17.212 ,      0.007 ,     16.225 ,      0.006 ,     19.159 ,      0.052 ,      409.0 ,     1.1 ,     20.445 ,      4.218 ,       91.8 ,    18.9 ,     17.456 ,      0.250 ,      836.6 ,    12.0 ,     19.291 ,    67.24 ,  0.56 , -1217.63 ,  1.28 ,  -282.62 ,  0.51 , 180.987160000 ,   0.262735350 ,   -0.86
