SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,LIT_RA,LIT_DEC,DISTMOD
 J0614-2019  ,  93.550518862 , -20.323118009 ,          SIPS J0614-2019  , 2011AJ....141...54A ,  2941124270643891072 ,   0.18 ,            ,                     ,       ...  ,                ...  ,        L4  , 2011AJ....141...54A ,       ...  ,                ...  ,     34.305 ,      3.001 , 2013AJ....146..161M ,     14.783 ,      0.028 ,     13.901 ,      0.024 ,     13.375 ,      0.037 ,     13.012 ,      0.024 ,     12.769 ,      0.026 ,     12.246 , -99999.000 , -99999.000 , -99999.000 ,     21.404 ,      0.041 ,     19.146 ,      0.006 ,     17.744 ,      0.006 ,     16.792 ,      0.007 ,     19.662 ,      0.106 ,      257.3 ,     1.4 ,     21.576 ,      8.051 ,       32.4 ,    12.1 ,     18.010 ,      0.286 ,      502.0 ,     8.0 ,     19.954 ,    32.84 ,  0.68 ,   139.57 ,  1.16 ,  -308.47 ,  1.65 ,  93.550498000 , -20.323075000 ,   -2.42
 J0615-0100  ,  93.956503349 ,  -1.011821081 ,  DENIS-P J0615493-010041  , 2008MNRAS.383..831P ,  3121200807575320448 ,   0.10 ,            ,                     ,       L2:  , 2008MNRAS.383..831P ,        L1  , 2014APJ...794..143B ,       ...  ,                ...  ,     45.700 ,      0.112 , 2014A&A...565A..20S ,     13.754 ,      0.027 ,     12.984 ,      0.023 ,     12.541 ,      0.026 ,     12.197 ,      0.024 ,     11.948 ,      0.022 ,     11.295 ,      0.163 , -99999.000 , -99999.000 ,     20.599 ,      0.029 ,     18.156 ,      0.007 ,     16.627 ,      0.003 ,     15.660 ,      0.004 ,     18.552 ,      0.054 ,      715.5 ,     2.1 ,     19.972 ,      5.008 ,      141.8 ,    35.6 ,     16.904 ,      0.205 ,     1389.9 ,    16.8 ,     18.700 ,    44.80 ,  0.33 ,   199.17 ,  0.46 ,   -57.86 ,  0.42 ,  93.956476000 ,  -1.011813100 ,   -1.74
 J0616-4557  ,  94.021872860 , -45.951682071 ,   2MASS 06160532-4557080  , 2008AJ....136.1290R ,  5567054149998654848 ,   0.04 ,            ,                     ,        L2  , 2008AJ....136.1290R ,       ...  ,                ...  ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.157 ,      0.042 ,     14.259 ,      0.044 ,     13.598 ,      0.039 ,     13.119 ,      0.023 ,     12.811 ,      0.023 ,     12.307 ,      0.218 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.147 ,      0.115 ,      164.7 ,     0.9 ,     21.421 ,      4.205 ,       37.3 ,     7.3 ,     18.465 ,      0.346 ,      330.1 ,     6.2 ,     19.993 ,    33.97 ,  0.58 ,   -49.27 ,  1.10 ,   131.28 ,  1.08 ,  94.022194000 , -45.952244000 ,   -2.34
 J0624+6626  ,  96.177826980 ,  66.439735294 , WISE J062442.37+662625.6  , 2013APJ...776..126C ,  1104317391237838464 ,   0.33 ,            ,                     ,       ...  ,                ...  ,        L1  , 2013APJ...776..126C ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     13.412 ,      0.049 ,     12.768 ,      0.046 ,     12.268 ,      0.031 ,     11.881 ,      0.023 ,     11.680 ,      0.021 ,     11.434 ,      0.156 , -99999.000 , -99999.000 ,     20.303 ,      0.001 , -99999.000 , -99999.000 ,     16.518 ,      0.016 ,     15.521 ,      0.006 ,     18.435 ,      0.032 ,      797.1 ,     1.4 ,     21.386 ,      2.531 ,       38.6 ,     4.6 ,     16.827 ,      0.117 ,     1492.7 ,    10.4 ,     18.512 ,    47.70 ,  0.21 ,   353.87 ,  0.23 ,  -520.29 ,  0.28 ,  96.176654000 ,  66.440420000 ,   -1.61
 J0624-4521  ,  96.191216883 , -45.363580757 ,   2MASS 06244595-4521548  , 2008AJ....136.1290R ,  5556620540565785600 ,   0.24 ,            ,                     ,       L5:  , 2008AJ....136.1290R ,        L5  , 2014APJ...794..143B ,       ...  ,                ...  ,     81.240 ,      0.440 , 2016AJ....152...24W ,     14.480 ,      0.029 ,     13.335 ,      0.028 ,     12.595 ,      0.026 ,     11.851 ,      0.022 ,     11.490 ,      0.021 ,     10.760 ,      0.072 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     19.842 ,      0.102 ,      218.1 ,     1.1 ,     21.433 ,      3.738 ,       36.9 ,     6.4 ,     18.063 ,      0.293 ,      478.1 ,     7.7 ,     19.367 ,    81.62 ,  0.50 ,   -35.75 ,  0.89 ,   376.67 ,  1.24 ,  96.191467000 , -45.365246000 ,   -0.44
 J0632+8305  ,  98.026340119 ,  83.083466897 ,   2MASS 06320617+8305014  , 2008AJ....136.1290R ,  1143789235905336576 ,   0.19 ,            ,                     ,      L0.5  , 2008AJ....136.1290R ,       ...  ,                ...  ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     13.754 ,      0.027 ,     12.943 ,      0.031 ,     12.400 ,      0.028 ,     12.073 ,      0.023 ,     11.831 ,      0.022 ,     11.452 ,      0.151 ,     21.648 ,      0.172 ,     20.457 ,      0.059 ,     18.051 ,      0.008 ,     16.582 ,      0.006 ,     15.586 ,      0.006 ,     18.497 ,      0.046 ,      752.4 ,     1.9 ,     21.457 ,      3.296 ,       36.1 ,     5.5 ,     16.892 ,      0.215 ,     1406.0 ,    17.9 ,     18.609 ,    43.90 ,  0.22 ,    22.54 ,  0.40 ,   -50.65 ,  0.43 ,  98.025726000 ,  83.083740000 ,   -1.79
 J0632-5010  ,  98.099471684 , -50.176378444 ,              2MUCD 20248  , 2008AJ....136.1290R ,  5550802234268442496 ,   0.04 ,       MG;  , 2014APJ...783..121G ,        L3  , 2008AJ....136.1290R ,       ...  ,                ...  ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.024 ,      0.043 ,     14.031 ,      0.039 ,     13.337 ,      0.030 ,     12.610 ,      0.023 ,     12.169 ,      0.022 ,     11.729 ,      0.146 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.280 ,      0.194 ,      145.6 ,     1.4 ,     20.230 ,      7.025 ,      111.8 ,    38.8 ,     18.566 ,      0.436 ,      300.9 ,     7.1 ,     19.767 ,    32.67 ,  0.82 ,   -93.13 ,  1.76 ,     0.22 ,  1.57 ,  98.100105000 , -50.176384000 ,   -2.43
 J0641-4322  , 100.328009126 , -43.372970623 ,   2MASS 06411840-4322329  , 2008AJ....136.1290R ,  5557113083119380224 ,   0.28 ,            ,                     ,      L1.5  , 2008AJ....136.1290R ,     L2.5:  , 2014APJ...794..143B ,       ...  ,                ...  ,     51.080 ,      0.510 , 2016AJ....152...24W ,     13.751 ,      0.026 ,     12.941 ,      0.034 ,     12.451 ,      0.029 ,     12.097 ,      0.023 ,     11.801 ,      0.021 ,     11.172 ,      0.090 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.558 ,      0.034 ,      711.5 ,     1.3 ,     21.142 ,      3.226 ,       48.3 ,     7.4 ,     16.911 ,      0.264 ,     1381.9 ,    21.6 ,     18.903 ,    51.28 ,  0.19 ,   211.78 ,  0.35 ,   632.03 ,  0.41 , 100.326680000 , -43.375813000 ,   -1.45
 J0652-2534  , 103.081222166 , -25.580305486 ,  DENIS-P J0652197-253450  , 2008MNRAS.383..831P ,  2920995300823950720 ,   0.12 ,            ,                     ,        L0  , 2008MNRAS.383..831P ,        M9  , 2014APJ...794..143B ,       ...  ,                ...  ,     62.023 ,      0.070 , 2014A&A...565A..20S ,     12.759 ,      0.023 ,     12.020 ,      0.022 ,     11.516 ,      0.021 ,     11.142 ,      0.023 ,     10.790 ,      0.021 ,     10.366 ,      0.059 , -99999.000 , -99999.000 ,     19.546 ,      0.024 ,     17.038 ,      0.004 ,     15.554 ,      0.004 ,     14.595 ,      0.004 ,     17.460 ,      0.025 ,     1955.3 ,     2.8 ,     20.518 ,      2.028 ,       85.8 ,     8.5 ,     15.832 ,      0.122 ,     3730.5 ,    28.8 ,     17.459 ,    62.44 ,  0.16 ,  -235.50 ,  0.18 ,    88.16 ,  0.25 , 103.081260000 , -25.580318000 ,   -1.02
 J0652+4710  , 103.127247370 ,  47.176938327 ,              2MUCD 10601  , 2003AJ....126.2421C ,   954697944875755136 ,   0.14 ,            ,                     ,      L4.5  , 2003AJ....126.2421C ,       ...  ,                ...  ,       ...  ,                ...  ,    114.900 ,      4.000 , 2016ApJS..225...10F ,     13.511 ,      0.023 ,     12.384 ,      0.024 ,     11.694 ,      0.020 ,     10.879 ,      0.024 ,     10.508 ,      0.020 ,      9.844 ,      0.052 , -99999.000 , -99999.000 ,     20.681 ,      0.086 ,     18.618 ,      0.005 ,     16.828 ,      0.008 ,     15.755 ,      0.006 ,     18.822 ,      0.079 ,      557.7 ,     2.3 ,     20.823 ,      4.053 ,       64.8 ,    12.6 ,     17.061 ,      0.324 ,     1203.5 ,    22.9 ,     18.564 ,   109.69 ,  0.44 ,  -118.82 ,  0.73 ,   131.88 ,  0.76 , 103.127280000 ,  47.176917000 ,    0.20
 J0659+1717  , 104.994067743 ,  17.285752146 , WISEA J065958.55+171710.9 , 2014APJ...783..122K ,  3361210791323909504 ,   0.23 ,            ,                     ,       ...  ,                ...  ,        L2  , 2014APJ...783..122K ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.841 ,      0.042 ,     13.773 ,      0.037 ,     13.021 ,      0.030 ,     12.632 ,      0.024 ,     12.358 ,      0.026 ,     11.556 ,      0.255 , -99999.000 , -99999.000 ,     21.467 ,      0.026 ,     19.177 ,      0.016 ,     17.830 ,      0.005 ,     16.921 ,      0.010 ,     19.725 ,      0.118 ,      242.9 ,     1.5 ,     21.710 ,      4.882 ,       28.6 ,     6.4 ,     18.054 ,      0.474 ,      482.2 ,    12.7 ,     19.604 ,    42.08 ,  0.85 ,    67.10 ,  1.46 ,  -457.51 ,  1.18 , 104.994010000 ,  17.286144000 ,   -1.88
 J0700+3157  , 105.153453791 ,  31.954706529 ,   2MASS 07003664+3157266  , 2003PASP..115.1207T ,   890663968222557440 ,   0.88 ,       UR;  , 2006AJ....132..891R ,      L3.5  , 2003PASP..115.1207T ,       ...  ,                ...  ,       ...  ,                ...  ,     86.700 ,      1.200 , 2012ApJS..201...19D ,     12.923 ,      0.023 ,     11.947 ,      0.016 ,     11.317 ,      0.023 ,     10.683 ,      0.023 ,     10.378 ,      0.020 ,      9.717 ,      0.051 , -99999.000 , -99999.000 ,     19.942 ,      0.040 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     15.042 ,      0.005 ,     18.079 ,      0.058 ,     1106.2 ,     3.5 ,     20.839 ,      2.772 ,       63.8 ,     8.5 ,     16.266 ,      0.348 ,     2503.3 ,    53.6 ,     17.934 ,    88.28 ,  0.35 ,    92.14 ,  0.56 ,  -552.28 ,  0.49 , 105.152670000 ,  31.957415000 ,   -0.27
 J0712-6155  , 108.157406981 , -61.930847886 ,   2MASS 07123786-6155528  , 2009AJ....137.3345C ,  5286860241773161984 ,   0.17 ,            ,                     ,    L1Vl-G  , 2009AJ....137.3345C ,       ...  ,                ...  ,       ...  ,                ...  ,     22.900 ,      9.100 , 2012ApJ...752...56F ,     15.296 ,      0.063 ,     14.392 ,      0.043 ,     13.674 ,      0.049 ,     13.015 ,      0.023 ,     12.632 ,      0.022 ,     11.268 ,      0.092 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.429 ,      0.175 ,      127.0 ,     1.1 ,     20.764 ,      4.556 ,       68.4 ,    15.0 ,     18.698 ,      1.007 ,      266.5 ,    14.4 ,     19.667 ,    24.39 ,  1.02 ,   -37.17 ,  1.69 ,   106.93 ,  1.94 , 108.157760000 , -61.931347000 ,   -3.06
 J0715-1145  , 108.969248194 , -11.759642168 , WISEA J071552.38-114532.9 , 2014APJ...783..122K ,  3045251148530763392 ,   0.34 ,            ,                     ,       ...  ,                ...  , L4 p(blue) , 2014APJ...783..122K ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     16.027 ,      0.090 ,     15.482 ,      0.113 ,     15.195 ,      0.202 ,     12.303 ,      0.024 ,     12.070 ,      0.022 ,     11.756 ,      0.242 , -99999.000 , -99999.000 ,     21.186 ,      0.058 ,     19.137 ,      0.012 ,     17.391 ,      0.010 ,     16.378 ,      0.004 ,     19.380 ,      0.054 ,      333.8 ,     0.9 ,     21.161 ,      7.130 ,       47.5 ,    16.0 ,     17.647 ,      0.428 ,      701.4 ,    17.0 ,     19.967 ,    55.59 ,  0.34 ,   706.90 ,  0.57 ,  -381.64 ,  0.51 , 108.968420000 , -11.759205000 ,   -1.28
 J0716-0630  , 109.199547688 ,  -6.509635431 ,  DENIS-P J0716478-063037  , 2008MNRAS.383..831P ,  3058039362114874496 ,   0.05 ,            ,                     ,       L1:  , 2008MNRAS.383..831P ,        L1  , 2014APJ...794..143B ,       ...  ,                ...  ,     40.918 ,      0.144 , 2014A&A...565A..20S ,     13.899 ,      0.036 ,     13.068 ,      0.029 ,     12.565 ,      0.037 ,     12.176 ,      0.023 ,     11.988 ,      0.023 ,     11.526 ,      0.216 ,     21.465 ,      0.161 ,     20.619 ,      0.026 ,     18.226 ,      0.000 ,     16.740 ,      0.005 ,     15.791 ,      0.005 ,     18.647 ,      0.065 ,      655.6 ,     2.3 ,     21.246 ,      6.266 ,       43.9 ,    12.9 ,     17.016 ,      0.192 ,     1254.5 ,    14.1 ,     18.760 ,    41.10 ,  0.35 ,   -12.00 ,  0.52 ,   145.49 ,  0.44 , 109.199550000 ,  -6.509655800 ,   -1.93
 J0717+5705  , 109.317579692 ,  57.095500906 ,   2MASSW J0717163+570543  , 2003IAUS..211..197W ,   989832319249728128 ,   0.04 ,            ,                     ,        L3  , 2008AJ....136.1290R ,      L6.5  , 2003IAUS..211..197W ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.636 ,      0.032 ,     13.593 ,      0.030 ,     12.945 ,      0.026 ,     12.306 ,      0.023 ,     11.964 ,      0.023 ,     11.342 ,      0.172 ,     23.266 , -99999.000 ,     21.570 ,      0.074 ,     19.283 ,      0.006 ,     17.782 ,      0.012 ,     16.743 ,      0.009 ,     19.760 ,      0.134 ,      235.2 ,     1.6 ,     21.051 ,      3.505 ,       52.5 ,     8.7 ,     18.034 ,      0.355 ,      491.1 ,     9.7 ,     19.960 ,    33.66 ,  1.02 ,   -24.67 ,  1.28 ,    41.86 ,  1.15 , 109.317590000 ,  57.095495000 ,   -2.36
 J0719-5051  , 109.884125121 , -50.861640608 ,   2MASS 07193188-5051410  , 2008AJ....136.1290R ,  5504230937511573504 ,   0.12 ,            ,                     ,        L0  , 2008AJ....136.1290R ,       L0:  , 2013AJ....146..161M ,       ...  ,                ...  ,     34.600 ,      2.200 , 2013AJ....146..161M ,     14.094 ,      0.032 ,     13.282 ,      0.035 ,     12.773 ,      0.027 ,     12.466 ,      0.023 ,     12.231 ,      0.021 ,     11.698 ,      0.156 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.814 ,      0.051 ,      561.8 ,     1.5 ,     21.150 ,      6.276 ,       47.9 ,    14.2 ,     17.175 ,      0.276 ,     1083.3 ,    17.4 ,     18.877 ,    36.46 ,  0.24 ,   191.36 ,  0.53 ,   -52.54 ,  0.42 , 109.884080000 , -50.861636000 ,   -2.19
 J0723+5727  , 110.811419271 ,  57.451197695 ,   2MASS 07231462+5727081  , 2008AJ....136.1290R ,   989476558517917952 ,   0.10 ,            ,                     ,        L1  , 2008AJ....136.1290R ,        L0  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     13.970 ,      0.027 ,     13.156 ,      0.030 ,     12.613 ,      0.030 ,     12.279 ,      0.023 ,     12.052 ,      0.023 ,     11.709 ,      0.212 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.323 ,      0.006 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.769 ,      0.053 ,      585.9 ,     1.7 ,     20.979 ,      3.426 ,       56.1 ,     9.2 ,     17.157 ,      0.134 ,     1101.7 ,     8.6 ,     18.752 ,    39.77 ,  0.33 ,    59.31 ,  0.45 ,  -229.59 ,  0.40 , 110.811400000 ,  57.451229000 ,   -2.00
 J0735+4108  , 113.830869401 ,  41.146951151 ,   2MASS 07351967+4108510  , 2008AJ....135..785W ,   924473912120275712 ,   0.09 ,            ,                     ,        L0  , 2008AJ....135..785W ,        M9  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.780 ,      0.073 ,     15.248 ,      0.090 ,     14.853 ,      0.101 ,     14.453 ,      0.030 ,     14.096 ,      0.043 ,     12.664 , -99999.000 ,     24.280 ,      0.430 ,     22.810 ,      0.210 ,     19.665 ,      0.010 ,     18.171 ,      0.007 ,     17.306 ,      0.012 ,     20.173 ,      0.144 ,      160.7 ,     1.1 ,     22.005 ,      7.165 ,       21.8 ,     7.1 ,     18.533 ,      0.542 ,      310.2 ,     9.1 ,     20.504 ,    16.52 ,  1.00 ,  -170.68 ,  1.46 ,  -116.10 ,  1.02 , 113.830900000 ,  41.146967000 ,   -3.91
 J0741+0531  , 115.490975704 ,   5.531524524 ,   2MASS 07415784+0531568  , 2010APJS..190..100K ,  3138513408427398016 ,   0.10 ,            ,                     ,       ...  ,                ...  ,      L1.5  , 2010APJS..190..100K ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.387 ,      0.032 ,     13.611 ,      0.032 ,     13.120 ,      0.034 ,     12.694 ,      0.022 ,     12.432 ,      0.024 ,     12.184 ,      0.446 , -99999.000 , -99999.000 ,     20.996 ,      0.053 ,     18.810 ,      0.010 ,     17.346 ,      0.003 ,     16.382 ,      0.008 ,     19.232 ,      0.081 ,      382.4 ,     1.6 ,     19.626 ,      4.196 ,      195.0 ,    41.7 ,     17.612 ,      0.235 ,      724.5 ,     9.7 ,     19.367 ,    38.13 ,  0.44 ,    -8.66 ,  0.74 ,  -215.59 ,  0.55 , 115.490980000 ,   5.531549200 ,   -2.09
 J0742+1808  , 115.630581570 ,  18.137670133 ,   2MASS 07423127+1808168  , 2008AJ....135..785W ,   671255353451404288 ,   0.05 ,            ,                     ,        L0  , 2008AJ....135..785W ,       ...  ,                ...  ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.881 ,      0.037 ,     14.108 ,      0.043 ,     13.643 ,      0.040 ,     13.328 ,      0.025 ,     13.066 ,      0.029 ,     12.042 , -99999.000 ,     21.236 ,      0.280 ,     21.328 ,      0.028 ,     19.031 ,      0.008 ,     17.613 ,      0.009 ,     16.694 ,      0.008 ,     19.525 ,      0.106 ,      292.1 ,     1.6 ,     21.150 ,      5.088 ,       47.9 ,    11.5 ,     17.903 ,      0.313 ,      553.9 ,     9.7 ,     19.495 ,    23.47 ,  0.55 ,    57.51 ,  0.95 ,   -68.20 ,  0.83 , 115.630570000 ,  18.137678000 ,   -3.15
 J0747+2658  , 116.964564548 ,  26.979881369 , ULAS J074751.51+265847.9  , 2016A&A...589A..49S ,   874942699995070848 ,   0.03 ,            ,                     ,       ...  ,                ...  ,       ...  ,                ...  ,        L0  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,            -99999.  ,     15.841 ,      0.072 ,     15.220 ,      0.100 ,     14.670 ,      0.087 ,     14.316 ,      0.028 ,     14.093 ,      0.048 ,     12.180 , -99999.000 ,     21.742 , -99999.000 ,     22.169 ,      0.178 ,     19.915 ,      0.019 ,     18.461 ,      0.012 ,     17.542 ,      0.006 ,     20.451 ,      0.177 ,      124.5 ,     1.1 ,     21.789 ,      4.809 ,       26.6 ,     5.9 ,     18.732 ,      0.580 ,      258.3 ,     8.0 ,     20.371 ,    15.38 ,  1.19 ,   -33.09 ,  3.02 ,   -55.80 ,  1.26 , 116.964570000 ,  26.979889000 ,   -4.07
 J0747+3947  , 116.984911627 ,  39.792182957 ,   2MASS 07475631+3947329  , 2002AJ....123.3409H ,   920399190747526784 ,   0.04 ,            ,                     ,        L0  , 2002AJ....123.3409H ,      M8.5  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.076 ,      0.041 ,     14.163 ,      0.039 ,     13.724 ,      0.045 ,     13.418 ,      0.026 ,     13.207 ,      0.029 ,     12.552 , -99999.000 ,     21.899 , -99999.000 ,     21.594 ,      0.049 ,     19.208 ,      0.007 ,     17.764 ,      0.006 ,     16.827 ,      0.007 ,     19.700 ,      0.088 ,      248.6 ,     1.1 ,     21.021 ,      6.560 ,       54.0 ,    16.8 ,     18.019 ,      0.469 ,      497.8 ,    12.9 ,     19.578 ,    20.32 ,  0.49 ,    36.13 ,  0.92 ,   -56.71 ,  0.63 , 116.984900000 ,  39.792191000 ,   -3.46
 J0749+2503  , 117.341283235 ,  25.051864521 , ULAS J074921.95+250306.9  , 2016A&A...589A..49S ,   867782989514057728 ,   0.05 ,            ,                     ,       ...  ,                ...  ,       ...  ,                ...  ,        L0  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,            -99999.  ,     15.763 ,      0.076 ,     14.997 ,      0.079 ,     14.810 ,      0.109 ,     14.238 ,      0.028 ,     14.000 ,      0.049 ,     12.236 ,      0.393 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     19.850 ,      0.051 ,     18.453 ,      0.020 ,     17.623 ,      0.017 ,     20.453 ,      0.165 ,      124.2 ,     1.0 ,     20.766 ,      5.030 ,       68.2 ,    16.5 ,     18.676 ,      0.777 ,      272.0 ,    11.3 ,     20.484 ,    12.99 ,  1.26 ,   -97.35 ,  1.97 ,   -36.75 ,  1.26 , 117.341300000 ,  25.051870000 ,   -4.43
 J0750+4454  , 117.727487477 ,  44.903934011 ,   2MASS 07505479+4454205  , 2008AJ....135..785W ,   926368649827338752 ,   0.18 ,            ,                     ,        L0  , 2008AJ....135..785W ,       ...  ,                ...  ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.132 ,      0.062 ,     14.456 ,      0.058 ,     14.247 ,      0.074 ,     13.792 ,      0.026 ,     13.439 ,      0.032 ,     11.895 , -99999.000 ,     23.740 ,      0.420 ,     21.596 ,      0.108 ,     19.011 ,      0.003 ,     17.495 ,      0.009 ,     16.644 ,      0.008 ,     19.499 ,      0.076 ,      299.1 ,     1.2 ,     20.333 ,      6.778 ,      101.7 ,    33.9 ,     17.820 ,      0.434 ,      598.1 ,    14.6 ,     19.883 ,    19.57 ,  0.49 ,  -120.58 ,  0.72 ,  -376.86 ,  0.67 , 117.727510000 ,  44.903986000 ,   -3.54
 J0751-2530  , 117.814119698 , -25.511327773 ,  DENIS-P J0751164-253043  , 2008MNRAS.383..831P ,  5602408602804816768 ,   0.47 ,            ,                     ,      L2.5  , 2008MNRAS.383..831P ,        L1  , 2014APJ...794..143B ,       ...  ,                ...  ,     56.304 ,      0.085 , 2014A&A...565A..20S ,     13.161 ,      0.024 ,     12.495 ,      0.023 ,     11.991 ,      0.024 ,     11.690 ,      0.023 ,     11.436 ,      0.021 ,     11.054 ,      0.125 , -99999.000 , -99999.000 ,     20.089 ,      0.077 , -99999.000 , -99999.000 ,     16.046 ,      0.012 ,     15.074 ,      0.010 ,     17.951 ,      0.024 ,     1244.2 ,     1.7 ,     21.203 ,      2.826 ,       45.7 ,     6.1 ,     16.325 ,      0.087 ,     2369.5 ,    12.6 ,     18.217 ,    56.57 ,  0.16 ,  -878.99 ,  0.23 ,   145.96 ,  0.23 , 117.818560000 , -25.512012000 ,   -1.24
 J0753+2917  , 118.383452196 ,  29.286134950 ,   2MASS 07533217+2917119  , 2000AJ....120..447K ,   875864782229178624 ,   0.07 ,            ,                     ,        L2  , 2000AJ....120..447K ,       ...  ,                ...  ,      L3.5  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,                ...  ,     15.516 ,      0.048 ,     14.527 ,      0.040 ,     13.849 ,      0.043 ,     13.333 ,      0.025 ,     13.008 ,      0.029 ,     11.760 , -99999.000 , -99999.000 , -99999.000 ,     22.079 ,      0.168 ,     19.953 ,      0.013 ,     18.509 ,      0.014 ,     17.523 ,      0.011 ,     20.407 ,      0.174 ,      129.5 ,     1.1 ,        NaN ,        NaN ,        NaN ,     NaN ,        NaN ,        NaN ,        NaN ,     NaN ,     20.259 ,    22.41 ,  1.01 ,  -102.50 ,  2.01 ,  -107.94 ,  1.09 , 118.383470000 ,  29.286150000 ,   -3.25
 J0757+2935  , 119.411640743 ,  29.595368105 , ULAS J075738.81+293543.5  , 2016A&A...589A..49S ,   877200169168634880 ,   2.91 ,            ,                     ,       ...  ,                ...  ,       ...  ,                ...  ,        L0  , 2016A&A...589A..49S , -99999.000 , -99999.000 ,            -99999.  ,     15.141 ,      0.039 ,     14.467 ,      0.043 ,     14.002 ,      0.050 ,     13.630 ,      0.025 ,     13.401 ,      0.031 ,     12.569 ,      0.533 ,     20.947 , -99999.000 ,     19.201 , -99999.000 ,     19.297 ,      0.005 ,     17.845 ,      0.011 ,     16.930 ,      0.009 ,     19.813 ,      0.114 ,      223.9 ,     1.3 ,     20.913 ,      2.497 ,       59.6 ,     7.1 ,     18.126 ,      1.424 ,      451.0 ,    35.4 ,     19.637 ,    17.03 ,  0.67 ,   -42.40 ,  1.18 ,   -22.10 ,  0.69 , 119.411890000 ,  29.596148000 ,   -3.84
